"ID",""ID","Text"
"pos","2128","I liked the aluminum body."
"pos","81","Lightweight and the screen is beautiful!"
"pos","89","Buy it, love it, and I promise you won't regret it."
"neu","353","From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple."
"neg","347","pretty much everything else about the computer is good it just stops working out of no were."
"pos","1813","Originally bought it for my wife."
"pos","655","It was truly a great computer costing less than one thousand bucks before tax."
"pos","1615","I bought this laptop on Saturday and am completely in love with it!"
"neg","1670","If you don't like fingerprints, this might not be the laptop for you."
"pos","2443","Boots up fast and runs great!"
"pos","764","Call tech support, standard email the form and fax it back in to us."
"neg","177","I did contact HP and share how unhappy I am."
"neu","3012","This is my second MacBook."
"neg","1479","The service I received from Toshiba went above and beyond the call of duty."
"pos","2937","I would recommend it just because of the internet speed probably because thats the only thing i really care about."
"neg","439","This is my 3rd Apple Laptop and first MacBook Pro."
"pos","2925","I have had this laptop for a few months now and i would say im pretty satisfied."
"neg","929","The love part of my relationship with this laptop doesn't take very long."
"pos","2077","The screen shows great colors."
"pos","225","Dells are ok, HPs aren't that good, but Macs or Fantastic."
"neg","2756","The battery life has not decreased since I bought it, so i'm thrilled with that."
"neu","2863","The price and features more than met my needs."
"neg","1393","the mouse buttons are hard to push."
"neg","1837","Just don't waste your time and money on this."
"neg","921","And I'm still paying the bloody financing, for a product which didn't last me at least three years!"
"pos","2817","Bought it to use mostly for oline classes."
"pos","1896","I purchased an HP right after my high school graduation."
"neu","341","Me and my boyfriend bought the Gateway NV78 in nov of 09."
"neu","36","This is the complete opposite to an ergonomic design."
"neg","990","The technical service for dell is so 3rd world it might as well not even bother."
"pos","2275","The built in camera is very useful when chatting with other techs in remote buildings on our campus."
"neg","2908","Not super fancy, but not super expensive either."
"pos","214","Keyboard good sized and wasy to use."
"pos","2777","Great wifi too."
"neu","467","The Dell mini was the first Dell product that I had ever purchased."
"neg","47","My Mac has gone from being a trusted friend to an adversary."
"neg","361","I have been a mac user since the mid 90s."
"neu","168","My HP is very heavy."
"neg","2642","big mistake!"
"pos","1000","Best Buy was great as always and accepted the return and gave me another model 1764."
"pos","2135","I would buy this lap top over and over again!"
"neg","1733","Games being the main issue."
"neu","1822","My previous purchases were with Dell and HP."
"neg","3064","The price is another driving influence that made me purchase this laptop."
"pos","1646","But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates."
"pos","2988","It's a great product for a great price!"
"pos","2828","Excellent speed for processing data."
"neg","121","All in all, I'm incredibly dissatisfied with this laptop, and with HP as a whole."
"neg","1967","In my opinion it was not as user friendly as I expected either."
"pos","1776","The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great."
"pos","2626","The switchable graphic card is pretty sweet when you want gaming on the laptop."
"neg","2967","I would like at least a 4 hr. battery life."
"neg","1800","Looking online, many people are having the same problem."
"pos","2993","It has good speed and plenty of hard drive space."
"neg","1037","The driver updates don't fix the issue, very frustrating."
"neg","1270","Dell wanted to charge us for everything everytime I called them with a problem."
